词语       十进制 符号化反转二进制 二进制    反转二进制
academic     0        ○○○○○○○○○○ 0000000000   0000000000  
acid         1        ●○○○○○○○○○ 0000000001   1000000000  
acne         2        ○●○○○○○○○○ 0000000010   0100000000  
acquire      3        ●●○○○○○○○○ 0000000011   1100000000  
acrobat      4        ○○●○○○○○○○ 0000000100   0010000000  
activity     5        ●○●○○○○○○○ 0000000101   1010000000  
actress      6        ○●●○○○○○○○ 0000000110   0110000000  
adapt        7        ●●●○○○○○○○ 0000000111   1110000000  
adequate     8        ○○○●○○○○○○ 0000001000   0001000000  
adjust       9        ●○○●○○○○○○ 0000001001   1001000000  
admit        10       ○●○●○○○○○○ 0000001010   0101000000  
adorn        11       ●●○●○○○○○○ 0000001011   1101000000  
adult        12       ○○●●○○○○○○ 0000001100   0011000000  
advance      13       ●○●●○○○○○○ 0000001101   1011000000  
advocate     14       ○●●●○○○○○○ 0000001110   0111000000  
afraid       15       ●●●●○○○○○○ 0000001111   1111000000  
again        16       ○○○○●○○○○○ 0000010000   0000100000  
agency       17       ●○○○●○○○○○ 0000010001   1000100000  
agree        18       ○●○○●○○○○○ 0000010010   0100100000  
aide         19       ●●○○●○○○○○ 0000010011   1100100000  
aircraft     20       ○○●○●○○○○○ 0000010100   0010100000  
airline      21       ●○●○●○○○○○ 0000010101   1010100000  
airport      22       ○●●○●○○○○○ 0000010110   0110100000  
ajar         23       ●●●○●○○○○○ 0000010111   1110100000  
alarm        24       ○○○●●○○○○○ 0000011000   0001100000  
album        25       ●○○●●○○○○○ 0000011001   1001100000  
alcohol      26       ○●○●●○○○○○ 0000011010   0101100000  
alien        27       ●●○●●○○○○○ 0000011011   1101100000  
alive        28       ○○●●●○○○○○ 0000011100   0011100000  
alpha        29       ●○●●●○○○○○ 0000011101   1011100000  
already      30       ○●●●●○○○○○ 0000011110   0111100000  
alto         31       ●●●●●○○○○○ 0000011111   1111100000  
aluminum     32       ○○○○○●○○○○ 0000100000   0000010000  
always       33       ●○○○○●○○○○ 0000100001   1000010000  
amazing      34       ○●○○○●○○○○ 0000100010   0100010000  
ambition     35       ●●○○○●○○○○ 0000100011   1100010000  
amount       36       ○○●○○●○○○○ 0000100100   0010010000  
amuse        37       ●○●○○●○○○○ 0000100101   1010010000  
analysis     38       ○●●○○●○○○○ 0000100110   0110010000  
anatomy      39       ●●●○○●○○○○ 0000100111   1110010000  
ancestor     40       ○○○●○●○○○○ 0000101000   0001010000  
